Date,Open,High,Low,Close,Volume,Adj Close
2005-07-18,18.51,19.50,18.25,19.25,630800,19.25
2005-07-15,19.74,19.74,17.88,18.51,718700,18.51
2005-07-14,19.68,19.90,19.05,19.35,507300,19.35
2005-07-13,20.02,20.37,19.20,19.41,573500,19.41
2005-07-12,21.13,21.24,19.80,19.99,845900,19.99
2005-07-11,19.65,21.10,19.59,20.89,1403700,20.89
2005-07-08,19.80,20.14,19.25,19.47,418000,19.47
2005-07-07,18.89,19.77,18.68,19.42,495700,19.42
2005-07-06,20.06,20.34,19.15,19.72,1026000,19.72
2005-07-05,18.36,20.23,18.12,20.04,2335400,20.04
2005-07-01,16.00,17.88,15.95,17.88,1298400,17.88
2005-06-30,17.42,17.42,15.90,15.99,978900,15.99
2005-06-29,18.26,18.26,17.10,17.23,531100,17.23
2005-06-28,17.60,18.31,17.44,17.93,922000,17.93
2005-06-27,18.50,18.58,16.55,17.56,1166900,17.56
2005-06-24,18.78,19.07,17.68,18.25,1033800,18.25
2005-06-23,20.89,20.89,17.32,18.00,2522300,18.00
2005-06-22,20.69,21.25,20.33,20.70,618700,20.70
2005-06-21,20.50,21.62,20.40,20.57,762900,20.57
2005-06-20,20.90,21.14,20.30,20.33,585500,20.33
2005-06-17,21.71,22.48,20.77,21.03,821800,21.03
2005-06-16,21.98,23.17,21.05,21.54,1759900,21.54
2005-06-15,20.92,21.63,20.46,21.36,670600,21.36
2005-06-14,20.90,21.44,20.11,20.61,779100,20.61
2005-06-13,21.75,22.09,20.60,20.95,802100,20.95
2005-06-10,21.30,22.39,21.14,21.78,827200,21.78
2005-06-09,21.56,21.88,20.20,21.36,925600,21.36
2005-06-08,22.35,22.99,20.53,21.28,1045600,21.28
2005-06-07,23.25,23.38,21.80,22.19,1485700,22.19
2005-06-06,20.78,23.00,20.42,23.00,3181700,23.00
2005-06-03,19.80,20.20,18.60,20.13,1000700,20.13
2005-06-02,20.35,20.65,19.15,19.60,825000,19.60
2005-06-01,21.05,21.40,19.61,20.02,1005600,20.02
2005-05-31,21.44,21.66,20.05,20.92,1000800,20.92
2005-05-27,21.95,21.95,20.85,21.38,668200,21.38
2005-05-26,21.03,21.65,21.00,21.50,990700,21.50
2005-05-25,20.69,21.11,20.31,20.62,750700,20.62
2005-05-24,19.10,21.24,19.00,20.42,2389200,20.42
2005-05-23,19.70,19.98,18.80,19.29,1101200,19.29
2005-05-20,19.74,20.30,19.28,19.42,1698800,19.42
2005-05-19,18.23,20.00,17.61,19.28,2622500,19.28
2005-05-18,19.02,19.35,17.80,18.00,2295400,18.00
2005-05-17,17.37,19.23,17.14,18.87,3490700,18.87
2005-05-16,15.39,17.87,15.35,17.84,2272000,17.84
2005-05-13,15.98,15.98,15.10,15.52,596800,15.52
2005-05-12,16.34,16.64,15.35,15.60,874700,15.60
2005-05-11,16.44,16.44,15.30,16.17,978300,16.17
2005-05-10,16.91,17.50,15.66,16.16,2083900,16.16
2005-05-09,14.75,16.65,14.59,16.65,2433700,16.65
2005-05-06,14.60,14.80,14.30,14.44,384700,14.44
2005-05-05,14.81,14.90,14.00,14.28,542100,14.28
2005-05-04,15.10,15.49,14.26,14.65,1144900,14.65
2005-05-03,14.25,15.20,13.55,14.62,1443300,14.62
2005-05-02,15.30,15.70,13.88,14.09,1540500,14.09
2005-04-29,15.97,15.97,14.85,15.08,918700,15.08
2005-04-28,15.31,15.90,14.80,15.20,803200,15.20
2005-04-27,14.50,16.18,14.12,15.45,2218700,15.45
2005-04-26,16.42,17.00,14.80,15.00,2589500,15.00
2005-04-25,16.38,17.37,15.91,16.39,3411500,16.39
2005-04-22,15.24,16.99,14.36,15.91,4145000,15.91
2005-04-21,11.38,15.65,11.28,15.30,5796600,15.30
2005-04-20,11.50,12.25,10.50,10.74,811000,10.74
2005-04-19,10.84,12.00,10.84,11.40,1007600,11.40
2005-04-18,12.60,12.60,10.27,10.75,1150000,10.75
2005-04-15,12.92,13.13,12.62,12.65,400200,12.65
2005-04-14,13.75,13.86,12.70,13.09,745900,13.09
2005-04-13,13.00,13.86,12.31,13.37,1135200,13.37
2005-04-12,13.94,13.94,11.85,12.95,2813700,12.95
2005-04-11,15.21,15.53,13.67,14.01,1973400,14.01
2005-04-08,15.65,16.20,15.10,15.69,839600,15.69
2005-04-07,16.63,16.80,15.02,15.95,2498300,15.95
2005-04-06,15.10,16.88,15.01,16.45,2710900,16.45
2005-04-05,13.90,15.09,13.62,14.96,1322700,14.96
2005-04-04,12.80,13.70,12.68,13.67,1323100,13.67
2005-04-01,12.62,12.89,12.16,12.65,634700,12.65
2005-03-31,13.18,13.48,12.50,12.99,1044700,12.99
2005-03-30,12.56,13.16,12.15,13.05,980100,13.05
2005-03-29,12.01,12.71,11.65,12.14,969900,12.14
2005-03-28,11.86,12.54,11.44,11.76,1004000,11.76
2005-03-24,11.45,11.75,11.12,11.56,632200,11.56
2005-03-23,11.35,12.35,10.75,11.50,1747900,11.50
2005-03-22,10.65,11.90,10.26,11.41,2132900,11.41
2005-03-21,10.00,10.00,9.20,9.63,230800,9.63
2005-03-18,10.00,10.10,9.02,9.79,531300,9.79
2005-03-17,10.03,10.08,9.68,9.92,360600,9.92
2005-03-16,10.06,10.58,9.55,10.00,1180600,10.00
2005-03-15,9.00,10.30,8.80,10.21,2162600,10.21
2005-03-14,8.45,8.99,8.45,8.62,339300,8.62
2005-03-11,9.19,9.43,8.41,8.48,801400,8.48
2005-03-10,7.55,8.97,7.55,8.92,1297200,8.92
2005-03-09,8.09,8.33,7.51,7.67,708800,7.67
2005-03-08,9.45,9.45,7.93,8.25,741100,8.25
2005-03-07,8.79,9.57,8.65,9.10,754200,9.10
2005-03-04,8.91,8.91,8.46,8.63,204500,8.63
2005-03-03,9.36,9.36,8.37,8.80,730300,8.80
2005-03-02,8.55,9.48,8.33,9.10,1886100,9.10
2005-03-01,8.16,8.74,7.90,8.33,1163200,8.33
2005-02-28,7.43,8.17,7.30,7.88,758500,7.88
2005-02-25,6.95,7.35,6.82,7.30,253100,7.30
2005-02-24,6.81,6.99,6.62,6.98,274000,6.98
2005-02-23,7.28,7.39,6.80,6.87,325900,6.87
2005-02-22,7.30,7.42,7.15,7.31,257200,7.31
2005-02-18,7.11,7.63,6.80,7.20,785700,7.20
2005-02-17,6.75,7.15,6.75,6.99,266800,6.99
2005-02-16,6.95,6.95,6.53,6.82,347500,6.82
2005-02-15,7.01,7.18,6.56,6.71,725000,6.71
2005-02-14,7.10,7.55,7.01,7.07,530900,7.07
2005-02-11,7.75,7.97,6.86,7.35,679700,7.35
2005-02-10,8.05,8.15,7.74,7.74,261700,7.74
2005-02-09,7.85,8.23,7.68,7.94,456700,7.94
2005-02-08,8.27,8.40,7.80,7.99,680800,7.99
2005-02-07,8.55,8.55,8.00,8.08,1097700,8.08
2005-02-04,8.14,8.64,7.60,7.75,1492400,7.75
2005-02-03,7.39,8.47,7.25,8.20,3783100,8.20
2005-02-02,7.15,7.40,6.85,7.20,709800,7.20
2005-02-01,7.60,7.85,7.05,7.17,1200900,7.17
2005-01-31,7.09,7.74,6.80,7.50,1569500,7.50
2005-01-28,6.92,7.34,6.72,6.97,749700,6.97
2005-01-27,6.60,7.69,6.53,7.06,1633900,7.06
2005-01-26,7.02,7.24,6.50,6.57,1136200,6.57
